货币名称	现汇买入价	现钞买入价	现汇卖出价	现钞卖出价	中行折算价	发布时间	

美元		634.31		629.15		636.99		636.99		637.57		2021.12.31 23:42:27		
美元		634.31		629.15		636.99		636.99		637.57		2021.12.31 23:42:27		
美元		634.31		629.15		636.99		636.99		637.57		2021.12.31 23:42:27		
美元		634.31		629.15		636.99		636.99		637.57		2021.12.31 23:29:00		
美元		634.31		629.15		636.99		636.99		637.57		2021.12.31 23:28:55		
美元		634.21		629.05		636.89		636.89		637.57		2021.12.31 23:16:36		
美元		634.21		629.05		636.89		636.89		637.57		2021.12.31 23:03:39		
美元		634.21		629.05		636.89		636.89		637.57		2021.12.31 22:38:48		
美元		634.21		629.05		636.89		636.89		637.57		2021.12.31 22:28:30		
美元		634.01		628.85		636.69		636.69		637.57		2021.12.31 22:25:19		
美元		634.01		628.85		636.69		636.69		637.57		2021.12.31 22:16:26		
美元		633.96		628.8		636.64		636.64		637.57		2021.12.31 22:08:59		
美元		633.81		628.65		636.49		636.49		637.57		2021.12.31 21:59:35		
美元		633.81		628.65		636.49		636.49		637.57		2021.12.31 21:55:22		
美元		633.81		628.65		636.49		636.49		637.57		2021.12.31 21:45:02		
美元		633.81		628.65		636.49		636.49		637.57		2021.12.31 21:38:03		
美元		633.91		628.75		636.59		636.59		637.57		2021.12.31 21:31:29		
美元		633.91		628.75		636.59		636.59		637.57		2021.12.31 21:27:12		
美元		633.91		628.75		636.59		636.59		637.57		2021.12.31 21:21:17		
美元		633.91		628.75		636.59		636.59		637.57		2021.12.31 21:16:01		
 		
